diet,gender,age_group,participants,ghgs_median,land_median,eut_median,bio_median,water_use_median,relative_ghgs,relative_land,relative_eut,relative_bio,relative_water_use,relative_overall
vegan,female,20-29,487,2.383216383,4.049672932,10.64784509,109.7638716,411.9156576,21.02616429,16.87187369,25.84475181,26.19743886,42.96496644,26.58103902
vegan,female,30-39,376,2.540393021,4.262572997,11.12125558,123.4418922,425.5035996,22.41287085,17.75886459,26.99382718,29.46198395,44.38226015,28.20196134
vegan,female,40-49,219,2.657602422,4.525625973,11.71430284,127.590251,451.6882751,23.44696249,18.8548041,28.43328833,30.45207635,47.11345932,29.66011812
vegan,female,50-59,106,2.520496825,4.427549282,10.83069242,125.1423931,424.6928309,22.23733468,18.44619393,26.28856404,29.86784399,44.29769272,28.22752587
vegan,female,60-69,81,2.633644804,4.742450322,11.3334837,128.7621327,439.4109382,23.23559402,19.75814447,27.5089533,30.73177038,45.83286861,29.41346615
vegan,female,70-79,25,2.839875594,4.757807695,12.40590674,135.0108449,505.9307335,25.05508573,19.82212683,30.11196894,32.22315597,52.77123261,31.99671402
vegan,female,All,1294,2.511069449,4.280088211,11.05775751,119.6920552,427.1792932,22.15416072,17.83183702,26.83970288,28.56700709,44.55704379,27.9899503
vegan,male,20-29,198,2.843228309,4.845974177,12.83641806,124.6751643,492.2222787,25.08466539,20.18944878,31.15691824,29.75633006,51.34136878,31.50574625
vegan,male,30-39,251,2.698172418,4.490258767,11.62028581,126.1096655,452.7532877,23.80489533,18.70745614,28.20508752,30.09870373,47.22454573,29.60813769
vegan,male,40-49,165,2.69436602,4.553663881,11.63023643,132.0123341,441.9061889,23.771313,18.97161651,28.22923995,31.50749878,46.09313636,29.71456092
vegan,male,50-59,62,2.52473741,4.413799281,11.19767437,122.9252706,416.3354424,22.27474766,18.38890825,27.17931304,29.33868142,43.42597321,28.12152471
vegan,male,60-69,52,2.427010726,4.559575999,10.76274797,117.6943713,477.762362,21.41254424,18.99624776,26.12364733,28.09021814,49.83312353,28.8911562
vegan,male,70-79,19,2.587986805,4.499389513,11.4335333,119.2856002,460.1116968,22.83277176,18.74549694,27.75179653,28.46999811,47.99206644,29.15842596
vegan,male,All,747,2.699706696,4.597261427,11.84531106,126.0095638,459.7244579,23.81843164,19.15325396,28.7512752,30.07481237,47.9516754,29.94988972
vegan,All,20-29,685,2.516183334,4.279844679,11.2804545,114.0739971,435.1283744,22.19927848,17.83082241,27.38023933,27.22614026,45.38617471,28.00453104
vegan,All,30-39,627,2.603555108,4.353719932,11.32102685,124.5098525,436.4121669,22.97012467,18.13860379,27.47871768,29.71687496,45.52008101,28.76488042
vegan,All,40-49,384,2.67339928,4.537673511,11.67818056,129.4903648,447.4850349,23.58633185,18.90499693,28.34561129,30.90557818,46.6750393,29.68351151
vegan,All,50-59,168,2.522061803,4.422474877,10.96612624,124.3241694,421.6085566,22.25114185,18.42505278,26.61729284,29.6725578,43.97598671,28.1884064
vegan,All,60-69,133,2.55285554,4.670950587,11.1103389,124.4348877,454.4054798,22.52282268,19.46026004,26.96732991,29.69898304,47.39687805,29.20925474
vegan,All,70-79,44,2.731105435,4.646218025,11.98601821,128.2203983,486.1452403,24.09545016,19.35721847,29.09280358,30.60247417,50.70750177,30.77108963
vegan,All,All,2041,2.580110127,4.396172676,11.3459998,122.0042448,439.0907278,22.76327898,18.31547174,27.53933273,29.11885939,45.79946898,28.70728236
vegetarian,female,20-29,3752,4.319955998,6.207026792,17.35317258,242.8314944,545.5731476,38.11324274,25.85990864,42.12011299,57.95680432,56.90614461,44.19124266
vegetarian,female,30-39,3634,4.367724164,6.265816777,17.39704402,248.1096318,547.9089722,38.53468216,26.10484131,42.22659899,59.21654196,57.14978338,44.64648956
vegetarian,female,40-49,2696,4.386548304,6.317881973,17.35567047,248.8869679,546.7289578,38.70076001,26.32175695,42.12617594,59.40206944,57.02670168,44.7154928
vegetarian,female,50-59,1203,4.370471444,6.310075912,17.16368537,246.1568795,553.1083547,38.55892031,26.2892351,41.66018427,58.75047686,57.69210628,44.59018456
vegetarian,female,60-69,536,4.472485088,6.476280588,17.44472616,253.6563114,564.2192593,39.45894586,26.98168221,42.34233444,60.5403728,58.85103199,45.63487346
vegetarian,female,70-79,289,4.473445256,6.632652876,17.47861678,256.6978807,565.1838732,39.46741704,27.63316531,42.42459471,61.26630681,58.95164628,45.94862603
vegetarian,female,All,12110,4.364547777,6.281659528,17.3551161,246.9038506,548.5732402,38.50665816,26.17084587,42.12483037,58.92875711,57.21907001,44.59003231
vegetarian,male,20-29,646,4.899777121,6.903258501,19.4932348,268.2299584,609.3923081,43.22877245,28.7605709,47.31453275,64.01867784,63.56281822,49.37707443
vegetarian,male,30-39,1221,4.807758163,6.787162913,18.98807986,266.1488973,594.3070153,42.41692601,28.27688985,46.08840635,63.52198917,61.98934295,48.45871086
vegetarian,male,40-49,961,4.610379492,6.61047419,18.27581294,251.3519262,576.2406653,40.675533,27.54076377,44.35957188,59.9903832,60.10492776,46.53423592
vegetarian,male,50-59,426,4.45509531,6.522067628,17.61907144,244.2484288,559.6400014,39.30552281,27.1724416,42.76551025,58.29498527,58.37339134,45.18237025
vegetarian,male,60-69,229,4.444843585,6.628730014,17.54301248,248.6038537,566.8259604,39.21507594,27.61682176,42.5808978,59.33449834,59.12292459,45.57404369
vegetarian,male,70-79,158,4.612451445,6.842652923,18.28381332,259.4213507,602.5715334,40.69381301,28.50807405,44.37899061,61.91631977,62.8513756,47.66971461
